sample	ngi_id	population	habitat	region
PI028	P19606_101	Tvedöra	High	West Skåne
PI029	P19606_102	Tvedöra	High	West Skåne
PI030	P19606_103	Tvedöra	High	West Skåne
PI031	P19606_104	Tvedöra	High	West Skåne
PI032	P19606_105	Tvedöra	High	West Skåne
PI033	P19606_106	Tvedöra	High	West Skåne
PI034	P19606_107	Tvedöra	High	West Skåne
PI035	P19606_108	Tvedöra	High	West Skåne
PI036	P19606_109	Tvedöra	High	West Skåne
PI100	P19606_110	Max IV	Low	West Skåne
PI101	P19606_111	Max IV	Low	West Skåne
PI102	P19606_112	Max IV	Low	West Skåne
PI103	P19606_113	Max IV	Low	West Skåne
PI104	P19606_114	Max IV	Low	West Skåne
PI105	P19606_115	Max IV	Low	West Skåne
PI106	P19606_116	Max IV	Low	West Skåne
PI107	P19606_117	Max IV	Low	West Skåne
PI108	P19606_118	Max IV	Low	West Skåne
PI200	P19606_119	Haväng	High	East Skåne
PI201	P19606_120	Haväng	High	East Skåne
PI202	P19606_121	Haväng	High	East Skåne
PI203	P19606_122	Haväng	High	East Skåne
PI204	P19606_123	Haväng	High	East Skåne
PI205	P19606_124	Haväng	High	East Skåne
PI206	P19606_125	Haväng	High	East Skåne
PI207	P19606_126	Haväng	High	East Skåne
PI208	P19606_127	Haväng	High	East Skåne
PI413	P19606_329	Sandby Borg	High	Öland
PI414	P19606_330	Sandby Borg	High	Öland
PI415	P19606_331	Sandby Borg	High	Öland
PI417	P19606_332	Sandby Borg	High	Öland
PI418	P19606_333	Sandby Borg	High	Öland
PI419	P19606_334	Sandby Borg	High	Öland
PI420	P19606_335	Sandby Borg	High	Öland
PI421	P19606_336	Sandby Borg	High	Öland
PI422	P19606_337	Sandby Borg	High	Öland
PI501	P19606_338	Ismantorp	Low	Öland
PI502	P19606_339	Ismantorp	Low	Öland
PI503	P19606_340	Ismantorp	Low	Öland
PI504	P19606_341	Ismantorp	Low	Öland
PI505	P19606_342	Ismantorp	Low	Öland
PI506	P19606_343	Ismantorp	Low	Öland
PI507	P19606_344	Ismantorp	Low	Öland
PI508	P19606_345	Ismantorp	Low	Öland
PI509	P19606_346	Ismantorp	Low	Öland
